id,preformed_1,preformed_2,preformed_3,preformed_4,preformed_5,terminal_-1,terminal_-2,terminal_-3,terminal_-4,terminal_0,terminal_1,terminal_2
Potra2n16c29946,3.5414,3.6467,3.5819,4.3058,3.9537,3.1653,3.2454,2.8828,3.1757,2.9529,2.0980,1.9586
Potra2n1c2557,1.5724,1.3880,1.4482,1.3842,1.3563,1.8648,1.8140,1.6307,2.1892,1.8639,2.0215,2.0824
Potra2n1c275,2.5993,2.5452,2.4029,2.6969,2.5493,2.4553,2.2581,2.1819,2.4005,2.3678,1.8907,1.9690
Potra2n1c3,1.0456,1.0282,1.0624,1.0907,1.1575,1.0465,1.0147,1.0106,1.0131,1.0679,1.0154,1.0179
Potra2n2c5888,3.8014,3.6961,4.1159,4.4801,4.3546,4.1020,4.3403,4.0687,4.1619,3.9185,2.9133,2.6465
Potra2n3c7204,1.0583,1.0298,1.0000,1.0794,1.0755,1.0000,1.0163,1.0000,1.0000,1.0184,1.0203,1.0000
Potra2n3c8002,1.3618,1.2116,1.0000,1.6301,1.6566,1.2289,1.0000,1.0000,1.0000,1.2725,1.3543,1.0875
Potra2n5c11345,1.0702,1.0575,1.0493,1.1934,1.0954,1.0000,1.0000,1.0000,1.0238,1.0000,1.0000,1.0000
Potra2n6c13755,1.2717,1.2947,1.2872,1.5019,1.3953,1.0980,1.1112,1.0530,1.1212,1.1202,1.1213,1.2256
Potra2n6c13785,2.9277,2.9760,3.6099,4.1718,3.6969,2.8606,2.7626,2.5077,2.6870,3.2027,2.5946,2.4508
Potra2n7c15899,3.3889,3.3612,3.1899,2.8571,3.2937,3.6386,3.8879,3.5908,3.6415,3.3956,3.6858,3.5093
